ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2020-06-14 00:00:00,Dadra and Nagar Haveli and Daman and Diu,India,2021-04-02 15:13:53,35.0,0.0,2.0
2020-06-14 00:00:00,Delhi,India,2021-04-02 15:13:53,38958.0,1271.0,14945.0
2020-06-14 00:00:00,Goa,India,2021-04-02 15:13:53,523.0,0.0,70.0
2020-06-14 00:00:00,Gujarat,India,2021-04-02 15:13:53,23038.0,1448.0,15883.0
2020-06-14 00:00:00,Haryana,India,2021-04-02 15:13:53,6749.0,78.0,2803.0
2020-06-14 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,502.0,6.0,313.0
2020-06-14 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4878.0,55.0,2269.0
2020-06-14 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1711.0,8.0,816.0
2020-06-14 00:00:00,Karnataka,India,2021-04-02 15:13:53,6824.0,81.0,3648.0
2020-06-14 00:00:00,Kerala,India,2021-04-02 15:13:53,2407.0,19.0,1046.0
2020-06-14 00:00:00,Ladakh,India,2021-04-02 15:13:53,437.0,1.0,68.0
2020-06-14 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10641.0,447.0,7377.0
2020-06-14 00:00:00,Maharashtra,India,2021-04-02 15:13:53,104568.0,3830.0,49346.0
2020-06-14 00:00:00,Manipur,India,2021-04-02 15:13:53,449.0,0.0,91.0
2020-06-14 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,22.0
2020-06-14 00:00:00,Mizoram,India,2021-04-02 15:13:53,107.0,0.0,1.0
2020-06-14 00:00:00,Nagaland,India,2021-04-02 15:13:53,163.0,0.0,76.0
2020-06-14 00:00:00,Odisha,India,2021-04-02 15:13:53,3723.0,10.0,2594.0
